Name,n Works,Period,Region,Birthplace
Frédéric Chopin,201,Romantic,Eastern Europe & Russia,"Żelazowa Wola, Poland"
Franz Schubert,186,Romantic,Germanic Central Europe,"Vienna, Austria"
Ludwig van Beethoven,146,Classical/Romantic,Germanic Central Europe,"Bonn, Germany"
Johann Sebastian Bach,145,Baroque,Germanic Central Europe,"Eisenach, Germany"
Franz Liszt,131,Romantic,Eastern Europe & Russia,"Raiding, Hungary"
Sergei Rachmaninoff,59,Romantic,Eastern Europe & Russia,"Semyonovo, Russia"
Robert Schumann,49,Romantic,Germanic Central Europe,"Zwickau, Germany"
Claude Debussy,45,Romantic,France,"Saint-Germain-en-Laye, France"
Joseph Haydn,40,Classical,Germanic Central Europe,"Rohrau, Austria"
Wolfgang Amadeus Mozart,38,Classical,Germanic Central Europe,"Salzburg, Austria"
Alexander Scriabin,35,Romantic,Eastern Europe & Russia,"Moscow, Russia"
Domenico Scarlatti,31,Baroque,Italy,"Naples, Italy"
Felix Mendelssohn,28,Romantic,Germanic Central Europe,"Hamburg, Germany"
Johannes Brahms,26,Romantic,Germanic Central Europe,"Hamburg, Germany"
