id,audio_filename,composer,period
0000,2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.wav,Alexander Scriabin,unknown
0001,2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.wav,Alexander Scriabin,unknown
0002,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.wav,Alexander Scriabin,unknown
0003,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.wav,Alexander Scriabin,unknown
0004,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.wav,Alexander Scriabin,unknown
0005,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.wav,Alexander Scriabin,unknown
0006,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.wav,Alexander Scriabin,unknown
0007,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.wav,Alexander Scriabin,unknown
0008,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.wav,Alexander Scriabin,unknown
0009,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.wav,Alexander Scriabin,unknown
0010,2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.wav,Alexander Scriabin,unknown
0011,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.wav,Alexander Scriabin,unknown
0012,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.wav,Alexander Scriabin,unknown
0013,2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.wav,Alexander Scriabin,unknown
0014,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.wav,Alexander Scriabin,unknown
0015,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.wav,Alexander Scriabin,unknown
0016,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.wav,Alexander Scriabin,unknown
0017,2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.wav,Alexander Scriabin,unknown
0018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.wav,Alexander Scriabin,unknown
0019,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.wav,Alexander Scriabin,unknown
0020,2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.wav,Alexander Scriabin,unknown
0021,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.wav,Alexander Scriabin,unknown
0022,2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.wav,Alexander Scriabin,unknown
0023,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.wav,Alexander Scriabin,unknown
0024,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.wav,Alexander Scriabin,unknown
0025,2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.wav,Alexander Scriabin,unknown
0026,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.wav,Alexander Scriabin,unknown
0027,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.wav,Alexander Scriabin,unknown
0028,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.wav,Alexander Scriabin,unknown
0029,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.wav,Alexander Scriabin,unknown
0030,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.wav,Alexander Scriabin,unknown
0031,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.wav,Alexander Scriabin,unknown
0032,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.wav,Alexander Scriabin,unknown
0033,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.wav,Alexander Scriabin,unknown
0034,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.wav,Alexander Scriabin,unknown
0035,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.wav,Claude Debussy,unknown
0036,2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.wav,Claude Debussy,unknown
